Region,District,Address,Start Date,Start Time,End Date,End Time,Type of Work,RES,Other
Санкт-Петербург,Красногвардейский район,"пр-кт Заневский, дом 21, стр А  пр-кт Заневский, дом 23, стр А  пр-кт Новочеркасский, дом 30, стр А",10-04-2024 10:30,10:30,10-04-2024 17:30,17:30,Кабельная сеть,Правобережный РЭС,,8e0030c7-0ab9-40b1-8a4d-13b3ef71307cc864a750-9afb-48ac-928d-f2180622b5d189332a45-f134-4a75-b833-84f8ff02573a
Ленинградская область,р-н Всеволожский,д Новосергиевка,10-04-2024 10:21,10:21,10-04-2024 16:21,16:21,Северные электрические сети,Всеволожский РЭС,,bd52d0bd-e679-4adf-b8f5-3c9effdaf3ad
Санкт-Петербург,Санкт-Петербург                        Кировский район,"ул.Маршала Говорова,д.9,лит.А",10-04-2024 10:00,10:00,10-04-2024 20:00,20:00,Кабельная сеть,Юго-Западный РЭС,,65c2a413-d6e5-4e0b-a82f-b0464c4a415d
Санкт-Петербург,Санкт-Петербург                        Приморский район,"пр. Комендантский д. 30 к. 1, пр. Комендантский д. 30 к. 3, ул. Долгоозерная д. 11 к. 2 (Д/С № 969), ул. Долгоозерная д. 11, ул. Долгоозерная д. 11 к. 3, реклама",10-04-2024 10:00,10:00,10-04-2024 20:00,20:00,Кабельная сеть,Западный РЭС,,022bbf6a-b271-4b20-9020-51c79c9164d6
Санкт-Петербург,Невский район,"пр-кт Большевиков, дом 79, корп 1, стр Л  пр-кт Большевиков, дом 79, корп 2, стр К",10-04-2024 10:00,10:00,10-04-2024 18:00,18:00,Кабельная сеть,Правобережный РЭС,,fc92f3be-0811-4218-b24d-fd391b889544a5fab765-06ad-4a92-a304-fa86b2b9ecb0
Санкт-Петербург,Выборгский район (СПб),"Лесной пр., д.18  Выборгская ул., д.12  Нейшлотский пер., д.8",10-04-2024 10:00,10:00,10-04-2024 19:00,19:00,Кабельная сеть,Восточный РЭС,,
Санкт-Петербург,Красносельский район,"Энергетиков пр., д.54/1, 54/2, 52, 56/2  Стасовой ул., д.5, 9,",10-04-2024 10:00,10:00,10-04-2024 19:00,19:00,Кабельная сеть,Восточный РЭС,,
Ленинградская область,р-н Всеволожский,п Щеглово,10-04-2024 10:00,10:00,10-04-2024 17:00,17:00,Северные электрические сети,Всеволожский РЭС,,c90b9fd4-f0ad-4a04-8473-5e81fe1a0333
Ленинградская область,р-н Кингисеппский,д Унатицы,10-04-2024 10:00,10:00,10-04-2024 17:00,17:00,Кингисеппские ЭС,Кингисеппский РЭС,,02532ed4-988a-4703-aaaf-1789475bc131
Ленинградская область,р-н Тосненский,"д Трубников Бор, ш Московское",10-04-2024 10:00,10:00,10-04-2024 18:00,18:00,Гатчинские ЭС,Тосненский РЭС,"Реконструкция ВЛ-0,4",55fed04b-b118-4d7b-a3b5-438e0c76d8f4
Ленинградская область,р-н Гатчинский,д Введенское,10-04-2024 10:00,10:00,10-04-2024 18:00,18:00,Гатчинские ЭС,Тосненский РЭС,Реконструкция ВЛ,7906d1fb-5089-4acb-86fe-2b25c4163c3b
Ленинградская область,р-н Всеволожский,,10-04-2024 09:02,09:02,10-04-2024 22:02,22:02,Северные электрические сети,Всеволожский РЭС,,
Ленинградская область,р-н Волосовский,"д Шадырицы  д Сырковицы, ул Неревицы  д Малая Александровка",10-04-2024 09:00,09:00,10-04-2024 15:00,15:00,Кингисеппские ЭС,Кингисеппский РЭС,,47b3b06e-01ce-420f-9871-e2fb73959b8f8babeeb1-4994-4dd1-bc54-97b6198e4113f7d36850-1382-466c-a45f-b32c44985516
Ленинградская область,р-н Бокситогорский,д Пареево  д Мозолево-2  д Золотово,10-04-2024 09:00,09:00,10-04-2024 17:00,17:00,Тихвинские ЭС,Бокситогорский РЭС,,16542b56-2da0-4920-8d95-63d5c29f8ab0894d93bc-ce48-43c5-afd5-ff4bbb9c44d8f2512c62-e4b9-4f1e-b0f2-4012c6652dc7
Ленинградская область,р-н Бокситогорский,д Усадище,10-04-2024 09:00,09:00,10-04-2024 17:00,17:00,Тихвинские ЭС,Бокситогорский РЭС,,6ad56553-d11f-402c-b232-5f06dcf8cc95
Ленинградская область,р-н Лужский,д Щупоголово,10-04-2024 09:00,09:00,10-04-2024 17:00,17:00,Кингисеппские ЭС,Лужский РЭС,,b24d4629-1497-4dcf-a403-c2d86384f000
Ленинградская область,р-н Тихвинский,"д. Ратилово, Ульянино",10-04-2024 09:00,09:00,10-04-2024 17:00,17:00,Тихвинские ЭС,Тихвинский РЭС,,
Ленинградская область,р-н Тихвинский,д Ситомля  д Струнино  д Харчевня  д Ругуй,09-04-2024 16:00,16:00,09-04-2024 17:00,17:00,Тихвинские ЭС,Тихвинский РЭС,,bc3882e3-7d5c-4259-9cb9-93da9263efbb142814bb-188e-403f-a491-7c9adddc6d86ccf62bf4-39b3-4cc6-a86e-fa970431650bafaf6d79-909b-4d77-8f10-c65f2a84da5b
Санкт-Петербург,Санкт-Петербург                        Приморский район,ул. Савушкина д. 141,09-04-2024 11:00,11:00,09-04-2024 17:00,17:00,Кабельная сеть,Западный РЭС,,8d7c9dff-a7c4-4686-84b2-24f5d8a81621
Ленинградская область,р-н Тихвинский,"д. Сашково, Тумово, Сукса, Вахрушево, Серёдка",09-04-2024 11:00,11:00,09-04-2024 16:00,16:00,Тихвинские ЭС,Тихвинский РЭС,"Кратковременно, на время оперативных переключений.",
Санкт-Петербург,Санкт-Петербург                        Адмиралтейский район,"пр.Нарвский,д.18  пр.Нарвский,д.22",09-04-2024 10:30,10:30,09-04-2024 18:00,18:00,Кабельная сеть,Юго-Западный РЭС,,cfa302e8-2c60-4819-8847-4b560525df4148f592ac-bbc7-4715-9cd1-67c283b03e5b
Санкт-Петербург,Красногвардейский район,"пр-кт Наставников, дом 18, стр А  пр-кт Наставников, дом 20, корп 1, стр А  ул Ленская, дом 6, корп 3, стр А  пр-кт Косыгина, дом 25, корп 2, стр А  пр-кт Наставников, дом 20, корп 2, стр А",09-04-2024 10:30,10:30,09-04-2024 18:00,18:00,Кабельная сеть,Правобережный РЭС,по одному вводу,2a8bfa06-2dd4-4239-999c-9abeec2bb68ea4899f5e-32be-46d6-a2c9-e0386744473afba7b39d-df9e-49ec-a833-d92b8fdb9f8f5e12b407-c579-47d4-8823-bb2203f11bab8d41d4ba-542e-4873-b2e0-75f4137099b2
Ленинградская область,р-н Всеволожский,д Новосаратовка,09-04-2024 10:17,10:17,09-04-2024 16:17,16:17,Северные электрические сети,Всеволожский РЭС,,a5554286-fefd-4ae9-b846-8d21ed304c08
Санкт-Петербург,Красногвардейский район,"ш.Революции, д.19, 15, 17  Синявинская ул., д.20, 22, 26, 28/64, 24  Металлистов пр., д.66, 68, 62",09-04-2024 10:00,10:00,09-04-2024 17:00,17:00,Кабельная сеть,Восточный РЭС,,
