Region,District,Address,Start Date,Start Time,End Date,End Time,Type of Work,RES,Other
Санкт-Петербург,г Пушкин,АО НПП ИНТЭЛ,05-04-2024 10:00,10:00,05-04-2024 17:00,17:00,Южные электрические сети,Пушкинский РЭС,,110d6ad9-0b64-47cf-a2ee-7e935228799c
Ленинградская область,р-н Ломоносовский,д Разбегаево,05-04-2024 10:00,10:00,05-04-2024 16:00,16:00,Южные электрические сети,Красносельский РЭС,"ТП-491 Л-3,Л-4, Л-6, Л-7: ж/д-51,53,55,45,47,49.",ab287028-29c0-4fb9-bcb7-fc44ffd4b4ac
Ленинградская область,р-н Тихвинский,"д Бор  дом 18, д.20, д.50, д.52, д.56, д.51А, д.50А",05-04-2024 10:00,10:00,05-04-2024 16:00,16:00,Тихвинские ЭС,Тихвинский РЭС,,cffff006-646e-4096-b32f-a89d63e629f9
Ленинградская область,р-н Лужский,"п Приозерный, ул Центральная, дом 11  п Приозерный, ул Новая, дом 1  п Приозерный, ул Новая, дом 2  п Приозерный, ул Новая, дом 3  п Приозерный, ул Новая, дом 4  п Приозерный, ул Новая, дом 5",05-04-2024 10:00,10:00,05-04-2024 16:00,16:00,Кингисеппские ЭС,Лужский РЭС,,ffca6b15-f86b-4b8f-bd4b-316cbca7649d901652d3-e6c6-416d-b19c-cc372050c6f7db6bc154-9025-43ca-8da0-b1d2709cd87919788894-6121-4985-ad19-a74602352449caa05186-9f8b-42cd-beb6-a13be7d0edc2a3cae2e4-adca-428c-9e62-82da5444776e
Ленинградская область,р-н Ломоносовский,д Дубки  тер. СНТ Дружный Труд,05-04-2024 10:00,10:00,05-04-2024 16:30,16:30,Южные электрические сети,Петродворцовый  РЭС,+ д.Сагомилье. Аварийные работы по замене проводов Ф.Ирм-03,65dc47fd-c664-43a4-8446-e7d6069adcbd338f84bb-3a42-4c1d-83d9-0e2c903ef617
Ленинградская область,"р-н Кировский, массив ст Назия",тер. СНТ Звезда,05-04-2024 10:00,10:00,05-04-2024 12:00,12:00,Новоладожские ЭС,Волховский РЭС,,48b25313-d5f2-4d13-bd8c-af69f96413d2
Ленинградская область,р-н Кировский,д Горка  д Феликсово  д Горгала  д Ратница  д Пиргора  тер. ДНП Феликсово  тер. ДНП Острова,05-04-2024 10:00,10:00,05-04-2024 17:00,17:00,Новоладожские ЭС,Волховский РЭС,,e80195b7-5ae8-4c31-a963-30413e0053252d5b5697-3cc8-4ed7-8357-44152a0df087cb227f13-b408-49ef-b7bc-3a65e9f7d2273d7f640a-ec88-4873-bae3-1cba341760387361ed30-42c8-402a-9182-f7966c51570c2270783a-589f-4513-afc0-831419d75b1248f70fe7-554a-4b80-9004-f08a7d3ab1c0
Ленинградская область,р-н Кировский,п Молодцово,05-04-2024 10:00,10:00,05-04-2024 17:00,17:00,Новоладожские ЭС,Волховский РЭС,,4ccdf94d-ab12-4882-b77e-62c6862e17b5
Ленинградская область,р-н Ломоносовский,тер. СНТ Орбита-3,05-04-2024 10:00,10:00,05-04-2024 16:00,16:00,Южные электрические сети,Пушкинский РЭС,,45c0ff11-949a-44e2-9754-056d7bbb0cd5
Ленинградская область,р-н Ломоносовский,д Кипень,05-04-2024 10:00,10:00,05-04-2024 18:00,18:00,Южные электрические сети,Красносельский РЭС,"ТП-6458, ТП-6753",8fbead84-4fdc-4317-bf64-dc0fef08dc2f
Ленинградская область,р-н Ломоносовский,д Заостровье частично,05-04-2024 09:30,09:30,05-04-2024 16:00,16:00,Гатчинские ЭС,Ломоносовский РЭС,"Плановые работы на оборудовании ТП-3090
Согласование №125",f01c1cf9-811b-401d-8cd7-4697a80355ab
Ленинградская область,р-н Ломоносовский,"д Черемыкино, проезд Хвойный  д Черемыкино, мкр Дружный, проезд Согласия",05-04-2024 09:30,09:30,05-04-2024 16:00,16:00,Гатчинские ЭС,Ломоносовский РЭС,"Плановые работы на оборудовании ТП-4714
Согласование №126",0743109b-3586-4215-9e11-adceae34bcfd1951ffa2-57b8-4574-8be5-71796ac87c33
Ленинградская область,р-н Волосовский,д Рагулово  д Котино  д Старые Смолеговицы  д Новые Смолеговицы,05-04-2024 09:00,09:00,05-04-2024 15:00,15:00,Кингисеппские ЭС,Кингисеппский РЭС,,9c95f90a-a68f-4c1b-ad8e-7bce191a1b5ac317e389-85f1-44a3-b337-c6d6a94a58691ae096d5-6e38-479b-a684-c220321842d8c1fedca4-eea1-441d-a634-804a22d97a47
Ленинградская область,р-н Тихвинский,д. Залющик,05-04-2024 09:00,09:00,05-04-2024 16:00,16:00,Тихвинские ЭС,Тихвинский РЭС,,
Ленинградская область,"р-н Волховский, г Сясьстрой",ул Ленина,05-04-2024 09:00,09:00,05-04-2024 17:00,17:00,Новоладожские ЭС,Волховский РЭС,,c0b88757-dbff-4946-913e-29b15983feed
Ленинградская область,р-н Лужский,д Щегоща,05-04-2024 09:00,09:00,05-04-2024 15:30,15:30,Кингисеппские ЭС,Лужский РЭС,,5c330ae9-d8a2-45ae-b797-d49d8450631d
Ленинградская область,р-н Всеволожский,гп Янино-2,05-04-2024 09:00,09:00,02-04-2024 18:00,18:00,Северные электрические сети,Всеволожский РЭС,,6434dbe8-6886-48f7-8ce3-3a90288fc28f
Ленинградская область,р-н Лужский,д Бор (Дзержинское с/п),05-04-2024 09:00,09:00,05-04-2024 17:30,17:30,Кингисеппские ЭС,Лужский РЭС,,f9499f9a-d37f-4d63-b8a4-30dc27f1e719
Ленинградская область,р-н Лужский,д Щупоголово,05-04-2024 09:00,09:00,05-04-2024 15:30,15:30,Кингисеппские ЭС,Лужский РЭС,,b24d4629-1497-4dcf-a403-c2d86384f000
Ленинградская область,р-н Лужский,м ГЭС-1  д Задубье,05-04-2024 09:00,09:00,05-04-2024 17:00,17:00,Кингисеппские ЭС,Лужский РЭС,,369dd66b-6953-4e18-8ccd-0678071155521b6526e4-5848-41aa-aff8-4be9be4215fd
Ленинградская область,р-н Киришский,капустино,05-04-2024 09:00,09:00,05-04-2024 16:00,16:00,Тихвинские ЭС,Тихвинский РЭС,,60edc63c-77a1-45d6-be5d-a340273efbf5
Ленинградская область,р-н Лужский,"д Сорочкино, ул Морская  д Сорочкино, ул Молодежная  Сорочино Лесная",05-04-2024 09:00,09:00,05-04-2024 17:00,17:00,Кингисеппские ЭС,Лужский РЭС,,34bc124e-119d-4508-90ec-7c6ddaed73f75d3a278b-330a-4ea8-9751-3729080e3d36640df352-68ed-4750-baa6-6414695548a9
Ленинградская область,р-н Тихвинский,"д Бор, пл-ка Промплощадка N 4, СНТ Бор",05-04-2024 09:00,09:00,05-04-2024 16:00,16:00,Тихвинские ЭС,Тихвинский РЭС,В указанный период времени не более 4 часов.,63bf8697-4629-4039-89a7-313a0341bfb0
Ленинградская область,р-н Киришский,"гп Будогощь, ул Заводская",05-04-2024 09:00,09:00,05-04-2024 17:00,17:00,Тихвинские ЭС,Тихвинский РЭС,,be8e4a5b-8311-4ae3-bce9-9de332da52fd
Ленинградская область,р-н Волосовский,д Шёлково  д Голубовицы  СНТ Мед Души  ДНП Горки-гольф  СНТ Луговое  СНТ Нива,05-04-2024 01:00,01:00,05-04-2024 02:00,02:00,Гатчинские ЭС,Ломоносовский РЭС,Оперативные переключения на 30-40 минут,3e2969d3-7390-43fb-b1a9-953e135ee9931807c83b-ccc8-48c1-b6de-e9dc89fab964ded7afe5-fd71-417d-98ee-bb7124d2aa71d94ea4ba-11f4-4309-99c5-2bc70ca68808921987b7-70b5-4808-862c-9525b43784807f237619-9b4a-4389-a9e6-09fce1911218
Ленинградская область,р-н Ломоносовский,"д Горки  д Никольское  д Савольщина, КФХ Юлия  КП Хутор близ Извары  КП Сочи",05-04-2024 01:00,01:00,05-04-2024 02:00,02:00,Гатчинские ЭС,Ломоносовский РЭС,Оперативные переключения на 30-40 минут,1d062567-6df0-4403-b59b-4a5ddf272cd5e9112296-c1f2-473e-b4c1-ae8f1c90e4562c771a4f-f4eb-4c85-adcd-12ff5b942f147711d6bc-9663-4fbb-ac13-526205799c1ecb759ab0-cd6c-4a97-8035-8052239e4551
Санкт-Петербург,Санкт-Петербург                        г Пушкин,"тер Павильон Урицкого, дом 1  ул Школьная, дом 2, стр А  ул Песочная, дом 2/4, стр А  ул Песочная, дом 5, стр А  ул Песочная, дом 7, стр А  ул Песочная, дом 9, стр А  ул Песочная, дом 4, стр А  ул Новая, дом 28, стр А  ул Оранжерейная, дом 46, стр А  ул Оранжерейная, дом 48, стр А  ул Ленинградская, дом 14, стр А  ул Ленинградская, дом 57, стр А  ул Ленинградская, дом 16, стр А  ул Ленинградская, дом 18, стр А  ул Ленинградская, дом 20, стр А  ул Ленинградская, дом 22, стр А  ул Леонтьевская, дом 41, стр А  ул Оранжерейная, дом 54, стр А  ул Ленинградская, дом 55, стр А  ул Ленинградская, дом 65, стр А  тер Павильон Урицкого, дом 10, стр А  тер Павильон Урицкого, дом 14, стр А  тер Павильон Урицкого, дом 16, стр А  тер Павильон Урицкого, дом 18, стр А  тер Павильон Урицкого, дом 20, стр А  пр-кт Академический, дом 35Б, стр А  тер Павильон Урицкого, дом 5, стр А  тер Павильон Урицкого, дом 1  тер Павильон Урицкого, дом 3, стр А  ул Ленинградская, дом 83, стр А  ш Красносельское, дом 57, стр А",04-04-2024 22:00,22:00,05-04-2024 08:00,08:00,Южные электрические сети,Пушкинский РЭС,в период с 22:00 04.04.2024 до 08:00 05.04.2024 один раз на 5 минут,6a1c6be0-082f-4d5e-a158-92fdb52ad1574c0b259c-7cad-48f0-89d9-aa31ad35cd70278a42c8-b965-41ab-a899-6421b6c37f1c392b74a5-abe7-4d5f-b53c-04f292a1ce9a928f6de6-0530-4f75-853f-1bd11a685a16d5cea90d-cdc8-4a6d-84bd-00745811e675303d1c23-125f-48f6-8526-523b3b1302ed22c5db65-8ff4-4a49-8a05-7895c9838d868dafe052-c3cd-4a4e-9c70-e71d3b9277aec898ec57-9265-4249-8f97-47d86efcc9f7c76a4825-9892-4cec-8d14-9549413f6b1b191d6114-5f91-4a3f-b1ad-cfe9e5f13f47e2e3af1b-0994-4aa2-844a-0a384cf52bb6ddb80714-15e8-43ad-8a6d-587a40b34dfb133fb28d-bb15-4d25-bfaf-4916109ee9ae9b293edb-5fa0-4739-866d-ccad00cf593e33e62ea1-4682-4850-822a-6422b31a0e6ec17ee1d0-d217-4abe-8e0e-cb8f668b2f754dd80370-b2fb-4934-9ced-152e3cb20ec0535a3b0a-2cb7-4260-ac4d-2afc3fdae11ddf1a2e30-7e77-427e-b393-b32010a3af270edd97bf-19c2-4eba-bf06-194e6987c2c339e27915-6d36-4894-9b7a-26c8e497e3d849d21494-b078-4aa1-b5e4-d897967d966560d922c6-c353-4349-9c3a-fbaf1815793ba78cd60f-af23-4f9d-9c6f-39c04ab6b782129866c5-f211-42b6-9935-96ade7ad17c66a1c6be0-082f-4d5e-a158-92fdb52ad1579cfaf448-823c-4489-b643-8e3420881b2f421962a6-7a66-47eb-a59a-686cecb1dce48aee43a3-525c-4a43-9b66-6c2729f83fc9
Ленинградская область,р-н Ломоносовский,д Горбунки,04-04-2024 20:00,20:00,05-04-2024 08:00,08:00,Южные электрические сети,Красносельский РЭС,"ф.395-01 ТП-2017,ТП-2042, ТП-2032, ТП-465: 2 раза по 30 минут",
Ленинградская область,р-н Ломоносовский,д Пески,04-04-2024 20:00,20:00,05-04-2024 08:00,08:00,Южные электрические сети,Красносельский РЭС,ВЛ-10кВ Ф.191-05 Л ППр626-ППр532: 2 раза по 30 минут,
Санкт-Петербург,Санкт-Петербург                        г Колпино,Лагерное шоссе  Вознесенское шоссе  ТСН Север массив 13,04-04-2024 20:00,20:00,05-04-2024 03:00,03:00,Южные электрические сети,Колпинский РЭС,Кратковременное отключение электроэнергии (на 20 минут),084bbe52-9c88-43d9-b272-8e9d4b4759b2084bbe52-9c88-43d9-b272-8e9d4b4759b21e11a121-81c4-4b66-b11c-da8f47db2e1d
Ленинградская область,р-н Тихвинский,д Ситомля  д Струнино  д Харчевня  д Ругуй,04-04-2024 16:00,16:00,04-04-2024 17:00,17:00,Тихвинские ЭС,Тихвинский РЭС,,bc3882e3-7d5c-4259-9cb9-93da9263efbb142814bb-188e-403f-a491-7c9adddc6d86ccf62bf4-39b3-4cc6-a86e-fa970431650bafaf6d79-909b-4d77-8f10-c65f2a84da5b
Ленинградская область,Тосненский,Бабино  Бабино-2  Бабинская Лука,04-04-2024 16:00,16:00,04-04-2024 17:00,17:00,Гатчинские ЭС,Тосненский РЭС,Восстановление провода на потребительской линии ВЛ-10кВ,312ab5b7-c288-4543-b726-8f650ad19844ae5f6fa5-2d90-4aa4-bca6-c8e5fbb00dfb9441d51c-be2e-4e06-9149-72692f52799f
Санкт-Петербург,Санкт-Петербург,"б-р Поэтический, дом 3, стр А  б-р Поэтический, дом 5, стр А  б-р Поэтический, дом 5, корп 3, стр А",04-04-2024 15:00,15:00,04-04-2024 20:00,20:00,Кабельная сеть,Северный РЭС,,e940e4a4-dee8-4004-a16e-d95e9b315acf670f01cd-245a-4908-b75a-5f404fe79af6f229b3ab-d11c-4749-8aa5-0ae3496d0c3a
Ленинградская область,р-н Ломоносовский,д Волковицы  тер СНТ Андреевка массив,04-04-2024 14:00,14:00,04-04-2024 18:00,18:00,Южные электрические сети,Красносельский РЭС,Аварийно-восстановительные работы.,d3e9cabb-2ffa-428c-9172-1ab98a51495fcae03f37-a10d-4e5d-b0c1-a52399f62585
Ленинградская область,р-н Гатчинский,д Пеушалово  д Лайдузи  д Кезелево  д Куйдузи,04-04-2024 14:00,14:00,04-04-2024 18:00,18:00,Южные электрические сети,Красносельский РЭС,Аварийно-восстановительные работы.,7777bf05-29d9-474a-871e-e0721391d379f0e9eccd-fadf-41b7-a6f8-3e5837020c7fd67a785f-d8d0-4c46-a26a-687cd08316f94a501180-1cf7-46b2-99b7-f2206fbfe8a6
Ленинградская область,р-н Подпорожский,"гп Важины, ул Механизаторов",04-04-2024 13:00,13:00,04-04-2024 16:00,16:00,Новоладожские ЭС,Лодейнопольский РЭС,Вырубка ДКР,87dc1f9a-4cef-4786-aa3b-e28a0ac9a879
Санкт-Петербург,Санкт-Петербург,"ул Восстания, дом 18, стр А  пер Ковенский, дом 15, стр Г  пер Ковенский, дом 13, стр А  ул Жуковского, дом 26, стр А  ул Восстания, дом 20/16, стр А  ул Восстания, дом 22, стр А  ул Восстания, дом 16, стр А",04-04-2024 13:00,13:00,04-04-2024 18:00,18:00,Кабельная сеть,Центральный РЭС,,80d5341e-6675-4a65-a5e2-1231d54418961ef4e163-0572-4a79-b4cf-9e995a52f8963a575f79-4e3a-45fa-9a84-c724166a625c2d656421-817d-4df9-8c29-79eb450f36578ad04036-bf6a-4685-86e1-2aa24c3d400a38b53d26-586c-4f09-8e2a-7e873b310701c0200d2c-5196-493c-814a-c9e20ee122f9
Ленинградская область,р-н Тихвинский,д Олешково,04-04-2024 13:00,13:00,04-04-2024 16:00,16:00,Тихвинские ЭС,Бокситогорский РЭС,,c00f7854-7e73-4503-b714-8b2fce8919ba
Ленинградская область,р-н Ломоносовский,д Оржицы,04-04-2024 12:00,12:00,04-04-2024 17:03,17:03,Гатчинские ЭС,Ломоносовский РЭС,"Плановые работы на оборудовании ТП-3000
Согласование №121.",16109e98-7bcb-4656-acb2-a718e637069a
Ленинградская область,р-н Ломоносовский,д Иннолово,04-04-2024 12:00,12:00,04-04-2024 17:00,17:00,Южные электрические сети,Красносельский РЭС,"ТП-498, ТП-5918",76f5f698-0cd5-431a-8b1b-de249c6bb43e
Ленинградская область,р-н Тихвинский,д Кильмуя,04-04-2024 12:00,12:00,04-04-2024 15:00,15:00,Тихвинские ЭС,Бокситогорский РЭС,,db26b806-9426-4434-8227-57beb50a083e
Санкт-Петербург,Санкт-Петербург                        г Красное Село,"тер. СНТ Дружба  пр-кт Красных Командиров  ул Ново-Железнодорожная  ш Пушкинское  ул Привокзальная  ул Горбунова  тер Дудергоф, пр-кт Двадцать Пятого Октября",04-04-2024 12:00,12:00,04-04-2024 18:00,18:00,Южные электрические сети,Красносельский РЭС,ВЛ-6кВ Ф. 514-103 Л 405к-402к,ab9f6964-ffed-4727-8032-1f3a3d00ca8ab7e87e84-ddcd-4945-a22c-189070178a0e6fbc37e7-3ab2-4272-91fb-9cfd54a5ca08403c3550-51af-406a-b9d1-819e4c7012d5d613eb39-de0c-46c5-8205-e4776f663185777e2ba5-1c1a-4c07-a114-5d2a460d6e303d8bfc42-dd15-4e5f-945d-e69362f94a83
Санкт-Петербург,Санкт-Петербург,"ул Сикейроса, дом 11, корп 1, стр А  ул Сикейроса, дом 11, корп 2, стр А  ул Есенина, дом 3, стр А",04-04-2024 11:00,11:00,04-04-2024 17:00,17:00,Кабельная сеть,Северный РЭС,,f2361715-49fa-4a21-8772-6c9392f91f14c183f6e6-edf5-4f1b-ab74-ae44f0ca14367bbfcafe-264d-4878-b87b-d8236c130a4a
Санкт-Петербург,Невский район,"ул Купчинская, дом 8, корп 1, литера А  ул Купчинская, дом 10, корп 3, литера А",04-04-2024 11:00,11:00,04-04-2024 17:00,17:00,Кабельная сеть,Невский РЭС,,0d2727fc-afb0-4543-a3f0-dea061edda8e15ed8ef7-7173-4a9a-9e8d-0436962df266
Санкт-Петербург,Санкт-Петербург                        Приморский район,"наб. Реки Каменки д. 11 к. 2, наб. Реки Каменки д. 7 к. 3, наб. Реки Каменки д. 7 к. 2, ленсвет",04-04-2024 11:00,11:00,04-04-2024 16:00,16:00,Кабельная сеть,Западный РЭС,,f0903098-f697-4fea-83f3-c3215fcdbe82
Ленинградская область,р-н Ломоносовский,д Лаголово  д Телези,04-04-2024 11:00,11:00,04-04-2024 17:00,17:00,Южные электрические сети,Красносельский РЭС,,bca11ea6-0773-42a6-9a49-ec8bc4cf63d5d918869d-36d1-4b9c-a9c2-88563eae1120
Санкт-Петербург,Невский район,"ул Русановская, дом 15, корп 1, стр А  ул Русановская, дом 17, корп 1, стр А",04-04-2024 10:30,10:30,04-04-2024 18:00,18:00,Кабельная сеть,Правобережный РЭС,по одному вводу,64b2187b-9afb-4779-b3f4-83f1c03f3d39c002818f-cb3b-4910-a6e8-4d8f81a6567f
Санкт-Петербург,Санкт-Петербург                        Кировский район,"пр.Ветеранов,д.86  пр.Ветеранов,д.98  пр.Ветеранов,д.100  пр.Ветеранов,д.102  пр.Ветеранов,д.78",04-04-2024 10:30,10:30,04-04-2024 18:00,18:00,Кабельная сеть,Юго-Западный РЭС,,ee3c872c-92dd-4b05-9116-5c6dd602fa50539b8814-6c48-4986-873d-5e7ea904ae98dde4cedd-1ddd-4e67-bad0-4e1af1c96af3ad47bc89-3cb3-4734-bdce-4821cb9a93725fcb7fc1-4bf0-45f6-b127-10ec9c21c876
Санкт-Петербург,Невский район,"Глухоозерское шоссе, 15, лит., А, Б",04-04-2024 10:30,10:30,04-04-2024 17:00,17:00,Кабельная сеть,Невский РЭС,,98146579-2385-43c8-bcdd-d0c3a97ec3ce
Санкт-Петербург,Курортный район,"ул Лебединая  пр-кт Лахтинский  тер Лахта, ул Береговая  ул Соловьиная  ул Старая  аллея Берёзовая  ул Соловьиная",04-04-2024 10:12,10:12,04-04-2024 20:12,20:12,Северные электрические сети,Песочинский РЭС,,9bdfa9d8-dce6-4ea1-b4da-256435bc386524e7c8fd-69cb-4ad5-a17a-870b9033ca11539e93d0-5e49-44f5-9ae1-309232bd4e6bfc56d6a0-9024-4f37-b61d-0917d68ef169799f61fe-fdc0-4030-aaa5-8e0ce2ecc420c982b9ae-dde8-4f40-b158-95fc54d59aa0fc56d6a0-9024-4f37-b61d-0917d68ef169
Ленинградская область,р-н Тихвинский,д Ситомля  д Струнино  д Харчевня  д Ругуй,04-04-2024 10:00,10:00,04-04-2024 11:30,11:30,Тихвинские ЭС,Тихвинский РЭС,,bc3882e3-7d5c-4259-9cb9-93da9263efbb142814bb-188e-403f-a491-7c9adddc6d86ccf62bf4-39b3-4cc6-a86e-fa970431650bafaf6d79-909b-4d77-8f10-c65f2a84da5b
Санкт-Петербург,Санкт-Петербург                        Кировский район,"ул.Броневая,д.4  ул.Броневая,д.6-б зона 5  ул.Возрождения,д.6а  ул.Броневая,д.1  ул.Броневая,д.8  ул.Броневая,уч.104",04-04-2024 10:00,10:00,04-04-2024 20:00,20:00,Кабельная сеть,Юго-Западный РЭС,,a3bae1dc-f303-4ca7-bf6f-3bd2c7b7abfb6b683d1f-87f0-41f0-b29e-6a0bef4268bf7f905beb-a60a-4c62-8939-54165c66623233654105-591f-4bf5-892c-b03f730c59c033654105-591f-4bf5-892c-b03f730c59c033654105-591f-4bf5-892c-b03f730c59c0
Санкт-Петербург,Санкт-Петербург                        Приморский район,"ул. Ильюшина д. 1 к. 1, ул. Ильюшина д. 1 к. 2, пр. Комендантский д. 12 к.1.",04-04-2024 10:00,10:00,04-04-2024 17:00,17:00,Кабельная сеть,Западный РЭС,,a351916b-9405-4e27-bf4e-009a8d8895de
Санкт-Петербург,Невский район,"пр-кт Солидарности, дом 1, корп 3, стр А  пр-кт Солидарности, дом 3, корп 4, стр А  пр-кт Солидарности, дом 3, корп 3, стр А  ул Чудновского, дом 6, корп 4, стр А  ул Чудновского, дом 8, корп 4, стр А",04-04-2024 10:00,10:00,04-04-2024 18:00,18:00,Кабельная сеть,Правобережный РЭС,по одному вводу,370a5cd8-f6ed-445c-b955-86f6b09724a58205d279-3939-47e6-b8b1-9b2b7e0fd200da7ea885-1337-4e67-a337-2fe817e24ddc6aa81fae-a1da-4c65-a139-0ceb3f75ef982b2b0369-b132-425b-a42f-909cfde51e99
Санкт-Петербург,Санкт-Петербург                        Приморский район,ул. Парашютная д. 88 лит. В,04-04-2024 10:00,10:00,04-04-2024 17:00,17:00,Кабельная сеть,Западный РЭС,,b53699b1-d782-44c5-b23b-f86ef93b633f
Ленинградская область,р-н Всеволожский,"д Вартемяги, пер Школьный  д Вартемяги, ул Колхозная",04-04-2024 10:00,10:00,04-04-2024 17:00,17:00,Северные электрические сети,Сертоловский РЭС,,e90f9ce0-08a7-4bf1-aaa4-f405c19eec0fd3452476-7b63-4813-8beb-1dec2a1afe96
Ленинградская область,р-н Всеволожский,п Ковалево,04-04-2024 10:00,10:00,04-04-2024 17:00,17:00,Северные электрические сети,Всеволожский РЭС,,e5c62df7-a3cb-457e-872c-995db0a25e44
Ленинградская область,р-н Лодейнопольский,тер. СНТ Северное  тер. СНТ Пиркиничи,04-04-2024 10:00,10:00,04-04-2024 15:00,15:00,Новоладожские ЭС,Лодейнопольский РЭС,Работы на ВЛ,113d7f84-555b-470b-a682-25a0e3b501c6e3cbe033-cfd8-4a81-8787-1c1ea1d40151
Ленинградская область,р-н Лодейнопольский,д Никоновщина,04-04-2024 10:00,10:00,04-04-2024 14:00,14:00,Новоладожские ЭС,Лодейнопольский РЭС,Работы в ТП,14825828-f41e-46ba-885e-cd198e5e79f3
Ленинградская область,р-н Гатчинский,п Терволово,04-04-2024 10:00,10:00,04-04-2024 17:00,17:00,Южные электрические сети,Красносельский РЭС,ТП-6877,6650c1c4-31ea-463a-a136-c4bdd6c1e5e0
Ленинградская область,р-н Ломоносовский,д Волковицы,04-04-2024 10:00,10:00,04-04-2024 17:00,17:00,Южные электрические сети,Красносельский РЭС,ТП-6118,d3e9cabb-2ffa-428c-9172-1ab98a51495f
Ленинградская область,р-н Выборгский,п.Волочаевка,04-04-2024 10:00,10:00,04-04-2024 17:00,17:00,Выборгские ЭС,Рощинский РЭС,,
Ленинградская область,р-н Сланцевский,д Загорье,04-04-2024 10:00,10:00,04-04-2024 16:00,16:00,Кингисеппские ЭС,Кингисеппский РЭС,,d19409cb-388b-48c0-9ae5-db20ca6efb6d
Санкт-Петербург,Санкт-Петербург                        г Красное Село,ул Полевая  ул Восстановления,04-04-2024 10:00,10:00,04-04-2024 18:00,18:00,Южные электрические сети,Красносельский РЭС,"ВЛ-0,4кВ от ТП-406к",
Санкт-Петербург,Санкт-Петербург,"пр-кт КИМа, дом 7/19, стр А  пр-кт КИМа, дом 7/19, стр Б  пр-кт КИМа, дом 9, стр Б",04-04-2024 10:00,10:00,04-04-2024 23:59,23:59,Кабельная сеть,Островной РЭС,,1702e333-361c-4839-bc7e-13352e58c3a3a8f9c36f-afd1-4e9e-ad2f-05bcd4fdabe2dcf51970-e9a4-4323-9959-008a44b87f00
Санкт-Петербург,Санкт-Петербург,"пл Биржевая, дом 4, стр А",04-04-2024 10:00,10:00,04-04-2024 18:00,18:00,Кабельная сеть,Островной РЭС,Перевод нагрузки на Т-1,e5364d49-8df8-4e18-81c4-21082bf8c634
Санкт-Петербург,Санкт-Петербург,"ул Кораблестроителей, дом 39, стр В  ул Кораблестроителей, дом 39, стр Г  ул Кораблестроителей, дом 50, стр А",04-04-2024 10:00,10:00,04-04-2024 18:00,18:00,Кабельная сеть,Островной РЭС,,4f1b9a82-f64a-43cf-b744-b47a3457e78b4ff73205-8f10-4942-8fb7-8063281c76ad14a44710-5bf0-447a-abbb-780660b3a842
Ленинградская область,"р-н Всеволожский, массив Ройка",тер. СНТ Интеркомплекс  тер. СНТ ТОО ГОИ  тер. СНТ КЭТ  тер. СНТ Ройка,04-04-2024 10:00,10:00,04-04-2024 18:00,18:00,Северные электрические сети,Сертоловский РЭС,,d45c3599-0702-4a35-97ce-f48aa273828bbceb0855-8fa8-4cd9-8fef-6e482ead4d8a32c87d7d-12db-4ad5-a77d-6fd5a51cc9e4a90a979b-334e-4321-bc7f-9ff3b8624fda
Ленинградская область,р-н Выборгский,п Бородинское  п Свободное,04-04-2024 10:00,10:00,04-04-2024 14:00,14:00,Выборгские ЭС,Выборгский РЭС,,533422bb-8e81-42cf-becc-250ef6221b817e49ee4d-a25f-4b4b-bc1c-2ab978dbf227
Ленинградская область,р-н Кингисеппский,д Старое Гарколово,04-04-2024 10:00,10:00,04-04-2024 17:00,17:00,Кингисеппские ЭС,Кингисеппский РЭС,,54fca126-f5c4-4447-9880-9f0ab1652ce1
Ленинградская область,р-н Кингисеппский,д Большое Райково,04-04-2024 10:00,10:00,04-04-2024 17:00,17:00,Кингисеппские ЭС,Кингисеппский РЭС,,60cedf75-a192-463f-8a00-7a3dcf6c9e57
Санкт-Петербург,Приморский район (СПб),"Ланское ш., д.20/1  Омская ул., д.13",04-04-2024 10:00,10:00,04-04-2024 18:00,18:00,Кабельная сеть,Восточный РЭС,,
Ленинградская область,р-н Кингисеппский,д Ударник,04-04-2024 10:00,10:00,04-04-2024 17:00,17:00,Кингисеппские ЭС,Кингисеппский РЭС,,6f1e94a9-9c99-4285-8f38-2b8f519abd49
Ленинградская область,р-н Гатчинский,п Терволово,04-04-2024 10:00,10:00,04-04-2024 17:00,17:00,Южные электрические сети,Красносельский РЭС,"ТП-6714, ТП-5955",6650c1c4-31ea-463a-a136-c4bdd6c1e5e0
Санкт-Петербург,Санкт-Петербург,"ул Глинки, дом 1, стр А  ул Глинки, дом 3-5-7, стр А",04-04-2024 10:00,10:00,04-04-2024 23:00,23:00,Кабельная сеть,Центральный РЭС,,36327a9d-63c9-46e1-a2ed-1deb5a11f70230cb30fe-e9de-4679-8caa-2e5a00ff4abb
Ленинградская область,р-н Гатчинский,"п Высокоключевой, ул Льва Толстого",04-04-2024 10:00,10:00,04-04-2024 17:00,17:00,Гатчинские ЭС,Гатчинский РЭС,Капитальный ремонт л-1 ТП-17,44de7c42-a30e-4033-9efb-7aec0a000d5c
Ленинградская область,р-н Гатчинский,Руново,04-04-2024 10:00,10:00,04-04-2024 18:00,18:00,Гатчинские ЭС,Гатчинский РЭС,Установка реклоузера в пролете опор №29-30.,31fa1840-b296-4895-b664-ff6688037e8d
